Gene name (primary),Gene names (all)
AFF4,AF5Q31/AFF4/HSPC092/MCEF
CHAMP1,C13orf8/CAMP/CHAMP/CHAMP1/KIAA1802/ZNF828
BCORL1,BCORL1
MAP7,MAP7
ZNF316,ZNF316
CENPF,CENPF
CCNT1,CCNT1
NSRP1,CCDC55/hCG_1646942/NSRP1/NSRP70
DDX56,DDX21/DDX56/hCG_18300/NOH61
SPIN1,OCR/SPIN/SPIN1
PBRM1,BAF180/PB1/PBRM1
DDX18,cPERP-D/DDX18
ORC2,ORC2/ORC2L
ZNF614,ZNF614
BARD1,BARD1
ZC3H8,ZC3H8/ZC3HDC8
PPP1R10,CAT53/FB19/PNUTS/PPP1R10
ZFP37,ZFP37
CWC27,CWC27/SDCCAG10/UNQ438/PRO871
PDCD4,H731/PDCD4
DCAF13,DCAF13/HSPC064/WDSOF1
PPME1,PME1/PP2593/PPME1/PRO0750
KMT5B,CGI-85/KMT5B/SUV420H1
GATA2,GATA2
ZNF800,PP902/ZNF800
CDCA5,CDCA5
CBX6,CBX6
ZNF629,KIAA0326/ZNF629/ZNF65
MBD1,CXXC3/MBD1/PCM1
EIF4H,EIF4H/KIAA0038/WBSCR1/WSCR1
FYTTD1,FYTTD1/UIF
ZBED6,ZBED6
TRPS1,TRPS1
ZC3H13,KIAA0853/ZC3H13
THAP4,CGI-36/PP238/THAP4
MAP7D3,MAP7D3/MDP3
MPHOSPH8,MPHOSPH8/MPP8
KIAA1143,KIAA1143
SRFBP1,SRFBP1
SPATS2L,DKFZP564A2416/DNAPTP6/hCG_1811464/SP1224/SPATS2L
NOP53,GLT/GLTSCR2/NOP53/PICT1
ELMSAN1,C14orf117/C14orf43/ELMSAN1
RRP1B,KIAA0179/RRP1B
USP1,USP1
PRC1,PRC1
ZNF280C,SUHW3/ZNF280C/ZNF633
VEZF1,DB1/VEZF1/ZNF161
BAZ2A,BAZ2A/KIAA0314/TIP5
SAMD1,SAMD1
PPAN,BXDC3/hCG_2033702/PPAN/SSF1
PDAP1,HASPP28/PDAP1
MLLT3,AF9/hCG_1811108/MLLT3/YEATS3
MBD2,MBD2
TRIM28,KAP1/RNF96/TIF1B/TRIM28
RPL35,RPL35
HNRNPL,HNRNPL/HNRPL/P/OKcl.14
REPIN1,REPIN1/RIP60/ZNF464
ZBED5,Buster1/ZBED5
RFX5,RFX5
CAVIN1,CAVIN1/FKSG13/PTRF
ZNF768,ZNF768
KDM2A,CXXC8/FBL7/FBXL11/JHDM1A/KDM2A/KIAA1004
ZNF148,hCG_16464/ZBP89/ZNF148
CDCA8,CDCA8/PESCRG3
GTF3C2,GTF3C2/KIAA0011
RPL19,hCG_31402/RPL19
ZNF33A,hCG_2017529/KIAA0065/KOX31/ZNF11/ZNF11A/ZNF33/ZNF33A
TOPBP1,KIAA0259/TOPBP1
NUP153,NUP153
RBMX2,CGI-79/RBMX2
BRIX1,BRIX/BRIX1/BXDC2
PSIP1,DFS70/LEDGF/PSIP1/PSIP2
ZNF766,hCG_1811957/LOC90321/ZNF766
KLF5,BTEB2/CKLF/IKLF/KLF5
LRRC41,LRRC41/MUF1/PP7759
RAD54B,RAD54B
USP37,KIAA1594/USP37
UPF3B,RENT3B/UPF3B/UPF3X
SDE2,C1orf55/SDE2
SRBD1,SRBD1
EWSR1,EWS/EWSR1
H2AFY,H2AFY/MACROH2A1
MYNN,MYNN/OSZF/SBBIZ1/ZBTB31
OGFR,hCG_21023/OGFR
RPS6KA4,MSK2/RPS6KA4
RPL17,RPL17
PES1,hCG_2010949/PES1
PHF10,BAF45A/PHF10
ZSCAN29,ZNF690/ZSCAN29
RPS10,RPS10
MEPCE,BCDIN3/MEPCE
NXF1,NXF1/TAP
ZNF687,KIAA1441/ZNF687
POLB,POLB
RPS25,RPS25
SMARCAD1,KIAA1122/SMARCAD1
SURF2,SURF2
PNRC1,PNRC1/PROL2
CENPC,CENPC/CENPC1/ICEN7
HDGF,HDGF/HMG1L2
MORC2,KIAA0852/MORC2/ZCWCC1
ZNF362,PP6997/ZNF362
ZNF219,ZNF219
ELL,C19orf17/ELL
ALKBH3,ABH3/ALKBH3/DEPC1
SETD2,HIF1/HSPC069/HYPB/KIAA1732/KMT3A/SET2/SETD2
RPS19BP1,AROS/RPS19BP1
PAX6,AN2/hCG_26499/PAX6
ENSA,ENSA
FANCI,FANCI/KIAA1794
AHDC1,AHDC1
GNL3,E2IG3/GNL3/NS
CFL1,CFL/CFL1/hCG_2039457
DHX57,DHX57
SRSF2,SFRS2/SRSF2
FAM76B,FAM76B
CWC22,CWC22/KIAA1604/NCM
